Strategy,N_Train,Batch_Size,Repetition,Epochs_Run,Train_Time_s,Time_per_Epoch_s,MAE_Energy,MAE_Force
auto-diff,500,32,5,1143,1259.42,1.1019,0.4653175656795502,1.0145246831984747
auto-diff,500,32,6,744,825.17,1.1091,0.49369838552474976,1.0439891245039683
auto-diff,500,32,7,1160,1294.42,1.1159,0.4571051903247833,1.0207714045448908
gradient,500,32,1,906,993.49,1.0966,0.5474613571166992,1.0372666430276538
gradient,500,32,2,872,962.21,1.1034,0.5002405647277832,1.0399351353236608
gradient,500,32,3,832,912.66,1.0969,0.49284561157226564,1.025840177796379
gradient,500,32,4,845,926.61,1.0966,0.4791998012542725,1.0373542529878161
gradient,500,32,5,999,1104.97,1.1061,0.5646040679931641,1.0273562796456472
gradient,500,32,6,851,937.16,1.1012,0.491296907043457,1.0277341756184897
gradient,500,32,7,829,912.87,1.1012,0.4604040117263794,0.9896212956504217
classic,1000,64,1,587,268.33,0.4571,2.248258772277832,12.218870848834326
classic,1000,64,2,769,350.58,0.4559,2.1885776901245118,11.36818550967262
classic,1000,64,3,929,424.07,0.4565,2.293454266357422,12.229128275359622
classic,1000,64,4,704,321.84,0.4572,2.1136944593429567,11.467183351934525
classic,1000,64,5,901,413.85,0.4593,2.1181700716018677,11.002781020585317
classic,1000,64,6,1043,476.55,0.4569,2.072653742980957,10.697016145833333
classic,1000,64,7,1006,457.85,0.4551,2.0823984048843385,11.457300492931548
auto-diff,1000,64,1,1654,2078.54,1.2567,0.4212713930130005,0.8809912334139385
auto-diff,1000,64,2,1330,1672.12,1.2572,0.4243157328128815,0.8807787569560702
auto-diff,1000,64,3,1064,1334.28,1.254,0.4362305743694305,0.8909098548525856
auto-diff,1000,64,4,1114,1396.9,1.254,0.4276898826122284,0.8961950739784846
auto-diff,1000,64,5,1145,1434.45,1.2528,0.4311185290813446,0.8842496019151476
auto-diff,1000,64,6,1291,1623.14,1.2573,0.43694778823852537,0.8867846828884549
auto-diff,1000,64,7,928,1172.39,1.2634,0.42126016006469724,0.8807135546487476
gradient,1000,64,1,1159,1450.53,1.2515,0.4392795333862305,0.8693290931338356
gradient,1000,64,2,930,1153.59,1.2404,0.4318720703125,0.88692833726671
gradient,1000,64,3,1137,1411.89,1.2418,0.4475848415374756,0.8847428393167163
gradient,1000,64,4,1109,1376.73,1.2414,0.4331640914916992,0.8710379222082714
gradient,1000,64,5,1144,1421.89,1.2429,0.43998803100585937,0.876931998891679
gradient,1000,64,6,1136,1414.32,1.245,0.4448362442016602,0.8761841554671999
gradient,1000,64,7,1082,1345.65,1.2437,0.4290921859741211,0.8643494558182974
classic,2000,128,1,1730,889.77,0.5143,1.069060064983368,5.385428411768353
classic,2000,128,2,1981,1024.39,0.5171,1.1584282367706298,6.4806112351190475
classic,2000,128,3,1565,806.33,0.5152,1.1804153999328613,6.0021358220176095
classic,2000,128,4,1455,748.85,0.5147,1.264646806716919,6.62336242249504
classic,2000,128,5,1487,767.71,0.5163,1.263287633895874,6.531940414186508
classic,2000,128,6,1880,968.79,0.5153,1.1894538402557373,6.200403382316468
classic,2000,128,7,1866,963.92,0.5166,1.08492610912323,5.736790991598462
auto-diff,2000,128,1,1729,3006.95,1.7391,0.3900787306308746,0.7634829539465526
auto-diff,2000,128,2,1690,2936.26,1.7374,0.38743301515579226,0.7580895940871466
auto-diff,2000,128,3,1659,2849.28,1.7175,0.39188416204452514,0.7678854170541914
auto-diff,2000,128,4,1687,2890.47,1.7134,0.3806982985019684,0.7635714496915302
auto-diff,2000,128,5,1367,2338.22,1.7105,0.4006171854019165,0.7824306762695312
auto-diff,2000,128,6,1626,2797.92,1.7207,0.4008783259391785,0.7883318661644345
auto-diff,2000,128,7,2747,4701.54,1.7115,0.3892259407997131,0.7702385924324157
gradient,2000,128,1,1326,2262.43,1.7062,0.41847516174316407,0.7750606978159102
gradient,2000,128,2,1586,2689.28,1.6956,0.40487550201416017,0.769151714312841
gradient,2000,128,3,1142,1946.31,1.7043,0.4294719093322754,0.785626847718254
gradient,2000,128,4,1532,2599.44,1.6968,0.41415760803222657,0.7793828355577257
gradient,2000,128,5,1281,2185.82,1.7063,0.43995260162353517,0.7867701148623512
gradient,2000,128,6,1405,2397.44,1.7064,0.41116790466308595,0.7825785257006448
gradient,2000,128,7,1760,2994.77,1.7016,0.3985911392211914,0.7844498917836992
